LITERAL GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    0.99,  0.98,  0.97
de,    0.76,  0.78,  0.75
el,    0.99,  0.98,  0.98
en,    0.70,  0.74,  0.72
eo,    0.50,  0.50,  0.50
fr,    0.72,  0.71,  0.68
hi,    0.99,  0.99,  0.98
la,    0.71,  0.71,  0.69
pl,    0.85,  0.82,  0.80
ru,    0.99,  0.99,  0.99
sw,    0.79,  0.78,  0.75

LITERAL SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    0.72,  0.68,  0.44
el,    1.00,  1.00,  1.00
en,    0.47,  0.33,  0.24
eo,    0.50,  0.50,  0.50
fr,    0.66,  0.61,  0.41
hi,    1.00,  1.00,  1.00
la,    0.48,  0.31,  0.24
pl,    0.91,  0.96,  0.96
ru,    1.00,  1.00,  1.00
sw,    0.58,  0.37,  0.27

TRANSLITERAL GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    0.14,  0.03,  0.02
de,    0.14,  0.03,  0.02
el,    0.14,  0.03,  0.02
en,    0.14,  0.03,  0.02

TRANSLITERAL SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    0.90,  0.95,  0.96
el,    0.76,  0.68,  0.44
en,    0.94,  0.99,  0.99

PHONETIC GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    0.97,  0.95,  0.93
de,    0.99,  0.97,  0.95
el,    0.97,  0.94,  0.93
en,    0.95,  0.92,  0.89
eo,    0.50,  0.50,  0.50
fr,    0.91,  0.90,  0.88
hi,    0.99,  0.97,  0.96
la,    0.96,  0.94,  0.90
pl,    0.95,  0.92,  0.88
ru,    0.90,  0.90,  0.88
sw,    0.92,  0.92,  0.88
zh,    0.98,  0.95,  0.93

PHONETIC SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    1.00,  1.00,  1.00
el,    0.99,  1.00,  1.00
en,    0.98,  0.98,  1.00
eo,    0.50,  0.50,  0.50
fr,    0.95,  0.97,  0.99
hi,    1.00,  1.00,  1.00
la,    0.94,  0.81,  0.60
pl,    0.98,  1.00,  1.00
ru,    0.99,  1.00,  1.00
sw,    0.96,  0.98,  0.99
zh,    1.00,  1.00,  1.00
