LITERAL GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    0.98,  0.89,  0.72
de,    0.76,  0.78,  0.70
el,    0.98,  0.89,  0.72
en,    0.71,  0.74,  0.68
eo,    0.50,  0.50,  0.50
fr,    0.72,  0.70,  0.65
hi,    0.98,  0.89,  0.73
la,    0.72,  0.71,  0.67
pl,    0.85,  0.81,  0.70
ru,    0.98,  0.89,  0.73
sw,    0.80,  0.79,  0.71

LITERAL SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    0.98,  0.89,  0.72
de,    0.76,  0.78,  0.70
el,    0.98,  0.89,  0.72
en,    0.71,  0.74,  0.68
eo,    0.50,  0.50,  0.50
fr,    0.72,  0.70,  0.65
hi,    0.98,  0.89,  0.73
la,    0.72,  0.71,  0.67
pl,    0.85,  0.81,  0.70
ru,    0.98,  0.89,  0.73
sw,    0.80,  0.79,  0.71

TRANSLITERAL GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    0.94,  0.87,  0.72
de,    0.83,  0.78,  0.70
el,    0.80,  0.78,  0.71
en,    0.81,  0.80,  0.70

TRANSLITERAL SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    0.94,  0.87,  0.72
de,    0.83,  0.78,  0.70
el,    0.80,  0.78,  0.71
en,    0.81,  0.80,  0.70

PHONETIC GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    0.96,  0.91,  0.80
de,    0.98,  0.91,  0.80
el,    0.96,  0.90,  0.80
en,    0.94,  0.89,  0.80
eo,    0.50,  0.50,  0.50
fr,    0.90,  0.88,  0.80
hi,    0.98,  0.91,  0.80
la,    0.95,  0.89,  0.80
pl,    0.94,  0.89,  0.80
ru,    0.90,  0.87,  0.79
sw,    0.92,  0.90,  0.79
zh,    0.97,  0.90,  0.80

PHONETIC SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    0.59,  0.50,  0.42
de,    0.60,  0.51,  0.42
el,    0.59,  0.50,  0.42
en,    0.96,  0.93,  0.90
eo,    0.50,  0.50,  0.50
fr,    0.92,  0.92,  0.89
hi,    0.99,  0.96,  0.90
la,    0.58,  0.49,  0.42
pl,    0.96,  0.94,  0.89
ru,    0.94,  0.93,  0.89
sw,    0.94,  0.94,  0.89
zh,    0.98,  0.95,  0.90
