LITERAL GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    0.99,  0.98,  0.97
de,    0.76,  0.78,  0.75
el,    0.99,  0.98,  0.98
en,    0.70,  0.74,  0.72
eo,    0.50,  0.50,  0.50
fr,    0.72,  0.71,  0.68
hi,    0.99,  0.99,  0.98
la,    0.71,  0.71,  0.69
pl,    0.85,  0.82,  0.80
ru,    0.99,  0.99,  0.99
sw,    0.79,  0.78,  0.75

LITERAL SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    0.72,  0.68,  0.44
el,    1.00,  1.00,  1.00
en,    0.47,  0.33,  0.24
eo,    0.50,  0.50,  0.50
fr,    0.66,  0.61,  0.41
hi,    1.00,  1.00,  1.00
la,    0.48,  0.31,  0.24
pl,    0.91,  0.96,  0.96
ru,    1.00,  1.00,  1.00
sw,    0.58,  0.37,  0.27

TRANSLITERAL GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    0.72,  0.68,  0.44
el,    1.00,  1.00,  1.00
en,    0.47,  0.33,  0.24
eo,    0.50,  0.50,  0.50
fr,    0.66,  0.61,  0.41
hi,    1.00,  1.00,  1.00
la,    0.48,  0.31,  0.24
pl,    0.91,  0.96,  0.96
ru,    1.00,  1.00,  1.00
sw,    0.58,  0.37,  0.27

TRANSLITERAL SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    0.72,  0.68,  0.44
el,    1.00,  1.00,  1.00
en,    0.47,  0.33,  0.24
eo,    0.50,  0.50,  0.50
fr,    0.66,  0.61,  0.41
hi,    1.00,  1.00,  1.00
la,    0.48,  0.31,  0.24
pl,    0.91,  0.96,  0.96
ru,    1.00,  1.00,  1.00
sw,    0.58,  0.37,  0.27

PHONETIC GLOBAL ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    0.72,  0.68,  0.44
el,    1.00,  1.00,  1.00
en,    0.47,  0.33,  0.24
eo,    0.50,  0.50,  0.50
fr,    0.66,  0.61,  0.41
hi,    1.00,  1.00,  1.00
la,    0.48,  0.31,  0.24
pl,    0.91,  0.96,  0.96
ru,    1.00,  1.00,  1.00
sw,    0.58,  0.37,  0.27

PHONETIC SPECIFIC ALPHABET
lan,   r3,     r4,    r5
ar,    1.00,  1.00,  1.00
de,    0.72,  0.68,  0.44
el,    1.00,  1.00,  1.00
en,    0.47,  0.33,  0.24
eo,    0.50,  0.50,  0.50
fr,    0.66,  0.61,  0.41
hi,    1.00,  1.00,  1.00
la,    0.48,  0.31,  0.24
pl,    0.91,  0.96,  0.96
ru,    1.00,  1.00,  1.00
sw,    0.58,  0.37,  0.27
