R-Chunk algorithm results
      Means and standard deviations per r and language per language set over all runs

LITERAL GLOBAL ALPHABET
lan,   r3,          r4,          r5
ar,   0.98(0.02),  0.89(0.03),  0.72(0.02)
de,   0.76(0.04),  0.78(0.04),  0.70(0.03)
el,   0.98(0.02),  0.89(0.03),  0.72(0.02)
en,   0.71(0.06),  0.74(0.05),  0.68(0.03)
eo,   0.50(0.00),  0.50(0.00),  0.50(0.00)
fr,   0.72(0.02),  0.70(0.03),  0.65(0.02)
hi,   0.98(0.01),  0.89(0.03),  0.73(0.02)
la,   0.72(0.04),  0.71(0.05),  0.67(0.03)
pl,   0.85(0.03),  0.81(0.04),  0.70(0.03)
ru,   0.98(0.01),  0.89(0.03),  0.73(0.02)
sw,   0.80(0.03),  0.79(0.03),  0.71(0.02)

LITERAL SPECIFIC ALPHABET
lan,   r3,          r4,          r5
ar,   0.98(0.02),  0.89(0.03),  0.72(0.02)
de,   0.76(0.04),  0.78(0.04),  0.70(0.03)
el,   0.98(0.02),  0.89(0.03),  0.72(0.02)
en,   0.71(0.06),  0.74(0.05),  0.68(0.03)
eo,   0.50(0.00),  0.50(0.00),  0.50(0.00)
fr,   0.72(0.02),  0.70(0.03),  0.65(0.02)
hi,   0.98(0.01),  0.89(0.03),  0.73(0.02)
la,   0.72(0.04),  0.71(0.05),  0.67(0.03)
pl,   0.85(0.03),  0.81(0.04),  0.70(0.03)
ru,   0.98(0.01),  0.89(0.03),  0.73(0.02)
sw,   0.80(0.03),  0.79(0.03),  0.71(0.02)

TRANSLITERAL GLOBAL ALPHABET
lan,   r3,          r4,          r5
ar,   0.94(0.02),  0.87(0.03),  0.72(0.02)
el,   0.83(0.03),  0.78(0.04),  0.70(0.03)
hi,   0.80(0.04),  0.78(0.04),  0.71(0.02)
ru,   0.81(0.02),  0.80(0.04),  0.70(0.02)

TRANSLITERAL SPECIFIC ALPHABET
lan,   r3,          r4,          r5
ar,   0.94(0.02),  0.87(0.03),  0.72(0.02)
el,   0.83(0.03),  0.78(0.04),  0.70(0.03)
hi,   0.80(0.04),  0.78(0.04),  0.71(0.02)
ru,   0.81(0.02),  0.80(0.04),  0.70(0.02)

PHONETIC GLOBAL ALPHABET
lan,   r3,          r4,          r5
ar,   0.99(0.01),  0.99(0.01),  0.99(0.02)
de,   0.98(0.01),  0.98(0.01),  0.98(0.02)
el,   0.97(0.01),  0.97(0.01),  0.97(0.02)
en,   0.76(0.01),  0.76(0.01),  0.76(0.03)
eo,   0.78(0.00),  0.78(0.00),  0.78(0.00)
fr,   0.75(0.02),  0.75(0.00),  0.75(0.03)
hi,   0.99(0.01),  0.99(0.01),  0.99(0.02)
la,   0.98(0.02),  0.98(0.02),  0.98(0.03)
pl,   0.98(0.01),  0.98(0.01),  0.98(0.02)
ru,   0.70(0.02),  0.70(0.01),  0.70(0.02)
sw,   0.74(0.02),  0.74(0.01),  0.74(0.02)
zh,   0.72(0.01),  0.72(0.01),  0.72(0.03)

PHONETIC SPECIFIC ALPHABET
lan,   r3,          r4,          r5
ar,   0.59(0.42),  0.50(0.47),  0.42(0.44)
de,   0.60(0.43),  0.51(0.48),  0.42(0.44)
el,   0.59(0.42),  0.50(0.47),  0.42(0.44)
en,   0.96(0.03),  0.93(0.05),  0.90(0.12)
eo,   0.50(0.00),  0.50(0.00),  0.50(0.00)
fr,   0.92(0.04),  0.92(0.05),  0.89(0.12)
hi,   0.99(0.01),  0.96(0.05),  0.90(0.12)
la,   0.58(0.42),  0.49(0.46),  0.42(0.44)
pl,   0.96(0.03),  0.94(0.06),  0.89(0.12)
ru,   0.94(0.05),  0.93(0.07),  0.89(0.12)
sw,   0.94(0.03),  0.94(0.05),  0.89(0.12)
zh,   0.98(0.02),  0.95(0.05),  0.90(0.12)
